MAST_ISSR_NUM	DFLT_DATETIME	COHORT_REENTRY_DATETIME
2063	1935-04-17 00:00:00	2999-12-21 00:00:00
2069	2012-03-22 00:00:00	2012-04-25 00:00:00
2069	2013-03-18 00:00:00	2013-04-30 00:00:00
2084	2003-03-17 00:00:00	2004-05-23 00:00:00
2096	1919-05-09 00:00:00	3000-01-08 00:00:00
2124	2015-12-08 00:00:00	2020-12-07 00:00:00
2138	1931-09-07 00:00:00	3000-01-05 00:00:00
2156	1998-03-31 00:00:00	1999-09-30 00:00:00
2161	1935-12-27 00:00:00	1945-08-17 00:00:00
2200	2013-12-25 00:00:00	2014-02-12 00:00:00
2205	1932-08-18 00:00:00	2999-12-16 00:00:00
2219	2005-12-11 00:00:00	2006-12-10 00:00:00
2226	1986-01-17 00:00:00	1986-01-23 00:00:00
2226	1992-03-17 00:00:00	1993-11-29 00:00:00
2243	2002-04-18 00:00:00	2007-04-17 00:00:00
2252	1933-07-05 00:00:00	3000-01-03 00:00:00
2269	2003-09-10 00:00:00	2004-05-22 00:00:00
2271	1951-05-18 00:00:00	1960-06-14 00:00:00
2279	1933-01-14 00:00:00	3000-01-12 00:00:00
2281	2001-08-17 00:00:00	2001-08-23 00:00:00
2285	2011-11-20 00:00:00	2013-09-03 00:00:00
2299	2010-08-26 00:00:00	2011-06-07 00:00:00
2305	2002-09-29 00:00:00	2004-11-17 00:00:00
2312	2010-06-08 00:00:00	2010-11-30 00:00:00
2317	1919-08-19 00:00:00	2999-12-17 00:00:00
2320	1982-12-22 00:00:00	1994-12-22 00:00:00
2320	2005-04-25 00:00:00	2005-05-01 00:00:00
2327	1937-11-02 00:00:00	2999-12-31 00:00:00
2335	2001-05-02 00:00:00	2002-06-10 00:00:00
2345	2020-09-09 00:00:00	2021-01-15 00:00:00
2379	2009-04-03 00:00:00	2009-04-09 00:00:00
2415	2020-11-11 00:00:00	3000-01-13 00:00:00
2415	2020-12-14 00:00:00	2020-12-20 00:00:00
2419	1985-06-19 00:00:00	1988-10-21 00:00:00
2442	2021-12-10 00:00:00	2022-01-07 00:00:00
2448	1916-04-15 00:00:00	3000-01-13 00:00:00
2453	1933-03-26 00:00:00	1938-05-25 00:00:00
2458	2006-08-19 00:00:00	2007-08-18 00:00:00
2461	1930-07-17 00:00:00	3000-01-01 00:00:00
2478	1919-10-10 00:00:00	3000-01-09 00:00:00
2488	2009-03-02 00:00:00	2009-11-27 00:00:00
2490	2008-09-02 00:00:00	2009-04-04 00:00:00
2496	2020-11-11 00:00:00	2020-11-18 00:00:00
2509	1999-04-29 00:00:00	2000-02-17 00:00:00
2509	2002-09-25 00:00:00	2003-09-12 00:00:00
2516	2018-03-21 00:00:00	2020-02-17 00:00:00
2538	2012-04-12 00:00:00	2012-06-26 00:00:00
2542	1984-06-28 00:00:00	1989-12-09 00:00:00
2565	2000-12-15 00:00:00	2006-09-10 00:00:00
2568	1919-04-24 00:00:00	2999-12-24 00:00:00
2577	1982-07-29 00:00:00	1983-07-28 00:00:00
2590	2015-07-11 00:00:00	2020-07-10 00:00:00
2603	1914-10-11 00:00:00	3000-01-09 00:00:00
2612	1919-10-02 00:00:00	3000-01-01 00:00:00
2642	2000-02-03 00:00:00	2001-04-04 00:00:00
2644	2019-05-22 00:00:00	2020-01-08 00:00:00
2661	1933-07-15 00:00:00	1934-06-14 00:00:00
2675	1970-06-08 00:00:00	2999-12-23 00:00:00
2677	1939-01-05 00:00:00	1940-02-19 00:00:00
2681	2021-02-14 00:00:00	2021-07-01 00:00:00
2686	1922-06-22 00:00:00	2999-12-22 00:00:00
2718	2020-03-28 00:00:00	2020-04-03 00:00:00
2722	1920-09-10 00:00:00	1932-09-10 00:00:00
2722	1935-10-11 00:00:00	3000-01-09 00:00:00
2726	2016-08-27 00:00:00	2017-03-03 00:00:00
2735	2016-03-03 00:00:00	2016-05-19 00:00:00
2735	2019-01-28 00:00:00	2019-02-03 00:00:00
2754	2016-07-19 00:00:00	2016-08-23 00:00:00
